i,Task_Code,Yr,Task_Title,Function_Name,arg1,arg2,arg3,arg4,arg5,arg6
0,A001,7,Solving Equations,gen_solving_equations,10,1,0,1,0,0
1,A001,8,Solving Equations,gen_solving_equations,10,1,0,2,0,0
2,A001,9,Solving Equations w. Brackets,gen_solving_equations,10,1,0,2,0,1
3,A001,10,Solving Equations w. unknown on both sides,gen_solving_equations,10,1,0,2,1,0
4,A002,7,Simplifying,gen_collecting_like_terms,0,0,0,0,0,0
5,A002,8,Simplifying,gen_collecting_like_terms,1,0,0,0,0,0
6,A002,9,Simplifying,gen_collecting_like_terms,0,1,0,0,0,0
7,A002,10,Simplifying,gen_collecting_like_terms,1,1,0,0,0,0
8,A003,10,Factorising Quadratics,,0,0,0,0,0,0
9,A004,11,Circle Theorems,,0,0,0,0,0,0
10,A005,7,Expanding Brackets,gen_expanding_brackets,0,0,0,0,0,0
